Ventilador De Mesa Arno Vf Preto E Pás De Cor Prata, 50cm De Diâmetro 127v
Certo  mas é 3 pinos no padrão brasileiro (redondo) ou americano (chato)?  Além disso  qual garantia é oferecida?  Obrigado.,"Olá, São pinos redondos, padrão brasileiro. A marca oferece garantia de 03 anos."
Olá ele tem a tomada no padrão brasileiro?,"Olá, Os produtos possuem tomada 3 pinos."
Muito obrigada,"Disponha, eventuais duvidas estamos à disposição."
Por favor QUANTOS LITROS É O FORNO. E QUAL O VALOR DO FRETE CEP 19200.000,"Olá, Esse modelo é de 32L. É possível calcular o frete no próprio anúncio do produto abaixo das formas de pagamento."
quantos LITROS?,"Olá, É de 32L."
quantos litros?,"Olá, 32l."
Valor do frete,"Olá, É possível calcular o frete no próprio anúncio do produto abaixo das formas de pagamento."
Quantos litros,"Olá, É de 32L."
Boa tarde esse forno assar bolo tambem,"Olá, Sim, pode utilizar para assar bolo normalmente."
Preciso de forno a gás com as medidas A35..L60..P 40 ou 44 para bancada do cooktop..O senhor tem?,"Olá, Nossa marca trabalha apenas com modelos elétricos, não possuímos fabricação de forno á gás."
Gostaria de saber qual a capacidade e a temperatura máxima do forno e se ele grelha.,"Olá, Temperatura máxima de 240ºC, possui as funcções convecção, cozinhar e grelhar."
Gostaria de saber qual a capacidade e a temperatura máxima do forno e se ele grelha.,"Olá, Temperatura máxima de 240ºC, possui as funcções convecção, cozinhar e grelhar."
vem o espeto de assar frango,"Olá, O espeto é imagem ilustrativa para mostrar a capacidade interna do modelo. Não há fabricação do mesmo."
boa tarde. pode me informar as dimensões do produto?,"Olá, Segue as medidas: LxPxA = 53x43x34 cm."
Tem garantia de quanto tempo?,"Olá, A marca oferece garantia de 03 anos."
É quantos litros?,"Olá, Esse modelo é de 32L."
boa tarde qual a medida por favor,"Olá, Segue as medidas: LxPxA = 53x43x34 cm."
Tem taime,"Olá, Sim, há o botão do timer normalmente."
ele e de quantos litros?,"Olá, Esse modelo é de 32L."
Olá!! Esse forno qual dimensão dele e qts litros? Por favor! Obrigada,"Olá, É de 32L. Segue as medidas: LxPxA = 53 x 43 x 34 cm."
Boa tarde  ele é 32litros? Não achei na descrição o tamanho.,"Olá, Sim, esse modelo é de 32L. Segue as medidas: LxPxA = 53x43x34 cm."
quantos litro ele é?,"Olá, É de 32L."
Gostaria de saber se forno é autolimpante?,"Olá, Nossos modelos não possuem a função autolimpante."
Quantos litros tem este forno?,"Olá, Esse modelo é de 32L."
ele e elétrico?,"Olá, Sim, é modelo elétrico."
Tem 220vol?,"Olá, Possuímos as ultimas unidades em estoque, segue anúncio: https://www.mercadolivre.com.br/forno-eletrico-hamilton-beach-countertop-oven-with-convection-and-rotisserie-stainless-steel-220v/p/MLB7589067?product_trigger_id=MLB9999676&quantity=1"
parcela no boleto?,"Olá, A plataforma não permite parcelas por boleto, apenas parcelar por cartão ou compra á vista no boleto."
Este modelo Hamilton é muito grande e eu gostaria que fosse 2 andares  mesmo  mas não dá no meu espaço,"Olá, Encaminhamos o link para conferencia dos demais modelos da nossa marca."
A medida máxima que eu tenho de altura é 28  largura pode ser 55 e profundidade 40,"Olá, Segue nossa linha de fornos para conferencia dos demais modelos: https://www.hamiltonbeach.com.br/fornos.html ."
Vc tem da marca cuisinart?,"Olá, Nós atendemos apenas a marca Hamilton Beach, não possuímos conhecimento de outras marcas. Indicamos verificar com a equipe do SAC da loja. Atenciosamente, SAC Hamilton Beach"
Qual A Medida do. Forno?,"Olá, Segue as medidas: LxPxA = 53x43x34 cm."
quantos litros e,"Olá, Esse modelo é de 32L."
quantos litros ele e,"Olá, Esse modelo é de 32L."
quais as medidas do forno,"Olá, Segue as medidas: LxPxA = 53x43x34 cm."
Ola tudo bem? Quantos litros tem esse forninho?,"Olá, Esse modelo é de 32L."
medidas??,"Olá, Segue as medidas: LxPxA = 53x43x34 cm."
qual o tamanho??,"Olá, Segue as medidas: LxPxA = 53x43x34 cm."
quantos litros é este forno??,"Olá, Esse modelo é de 32L."
é entregue pelos correios ou transportadora?,"Olá, O envio é realizado via correios."
Ok. Vi um vídeo na internet desse mesmo forno  onde vinha com esse espeto da imagem para assar frango.,"Olá, Eles usam para mostrar a capacidade do forno, por ser o modelo da marca com maior capacidade em território nacional. Contudo não há fabricação e comercialização do mesmo no Brasil."
bom dia   quantos litros e?,"Olá, Esse modelo é de 32L."
Olá.  Ele vem com esse espeto pra assar frango?  É giratório?,"Olá, Não há fabricação do espeto, a imagem é meramente ilustrativa. Esse forno acompanha 2 assadeiras, 2 prateleiras de bandeja, 1 bandeja de migalhas e 1 prateleira de grelhar."
quantos litros tem este forno,"Olá, Esse modelo possui 32L."
vem com as duas grades de dentro  como na imagem??,"Olá, Esse modelo acompanha 2 assadeiras, 2 prateleiras de bandeja, 1 bandeja de migalhas e 1 prateleira de grelhar."
ele é de quantos litros ? Qual o tamanho dele por favor?,"Olá, Esse modelo é de 32L. Segue as medidas: LxPxA = 53x43x34 cm."
Quantos litros ? Dimensões ?,"Olá, Esse modelo é de 32L. Segue as medidas: LxPxA = 53x43x34 cm."
boa noite. este forno são quantos litros?,"Olá, São 32L."
Ele é inox ou em prata a cor,"Olá, É aço inox."
Olá  boa tarde! Assa pizza até quantos centímetros?,"Olá, Possui capacidade para duas pizzas de 30 cm, duas travessas de 23 x 33 cm ou duas formas para tortas."
----
Controle Joystick Sony Dualshock 4 Green Camouflage
Question,Answer
Boa tarde.  O controle é original mesmo?,"Sim"
Olá   boa tarde ! É original ?,"Sim"
Então posso comprar??,"Sim"
eu queria saber se vcs tem esse controle mesmo... pq acabei de receber mensagem q vcs cancelaram a outra compra q eu fiz,"Boa tarde, quem cancela é a central. Como não estamos trabalhando todos os dias gera atraso. Com isso acaba cancelando mas temos sim o produto."
É original correto?,"Sim"
este produto e original ?,"Sim"
Boa tarde tá on-line  demora quanto tempo pra esse CEP 26040250,"Bom dia, os valores e prazos são dados no momento da compra."
Boa tarde amigo  controle original? vem nota fiscal e na caixa?,"Sim."
Vem com o cabo para carregá-lo?,"Não"
É realmente original da Sony? Pode confiar na compra? Pois queria comprar um mais para frente,"Sim."
bom dia  esse controle é original ?,"Sim."
é original?,"Sim."
Produto original ? acompanha nota fiscal ?,"Sim"
é original?,"Sim"
Bom dia  produto original?? Tem garantia?,"Sim."
Consigo retirar hoje ?  onde fica ?,"Apenas envio"
----
Nebulizador Ultrassônico G-tech Ultraneb Desk 2 Branco 110v/220v
Question,Answer

----
Irrigador Oral Multilaser Hc038 Branco/azul 110v/220v
Question,Answer
Olá! É original? Vc tem a escova dental elétrica? Quanto fica tudo junto? Faz um desconto a vista?,"Olá! Produto original. Não vendemos a escova elétrica. O menor valor que conseguimos já é o que está no anúncio."
Ok vou comprar agora.obrgado!,"Estamos a disposição!"
Tem irrigador,"Olá! Sim, temos o produto em estoque."
Boa noite vcs fazem conserto do aparelho?,"Olá ROTH9610440, tudo bem? O Irrigador Oral Multilaser Clearpik Portable 7 Bicos 1000ML possui 1 ano de garantia diretamente pelo fabricante e qualquer problema que ocorrer, entre em contato com a assistência técnica da Multilaser (11) 3198-0004. Estamos esperando o seu pedido."
----
Churrasqueira Elétrica Lenoxx Pch141 110v
Question,Answer
Como você entrega na zona norte de sao paulo ? Correios ou transportadora? Correio aqui é complicado receber ..,"Bom dia, a entrega e feita pelos correios o prazo para envio e de 2 a 5 dia uteis e o prazo da entrega dependo da sua região e de 7 a 15 dia"
Bom dia. A parte que esquenta também é removível para limpeza?,"Bom dia,sim"
tem esse protudo disponível??,"Bom dia, tem sim"
olá é novo ou já foi usado ?,"Bom dia,nos só vende,os produtos novos"
Entendi .. Ela é de tamanho médio então ?,"Boa tarde,sim"
Boa noite! Qual o tamanho dela ?,"Bom dia, altura 11,5cm largura 48 cm prof. 38cm"
bom dia  vem com suporte(pés) para usar no chao?,"Bom dia,Não"
vem pelo correio ou transportadora,"Bom dia,pelos os correios"
----
Microfone Sf 666 Condensador Preto
Question,Answer
Boa tarde  pode ligar em um celular? Grato,"Pode sim, abraço!"
Boa tarde pode ser ligado em smartphone,"Pode sim, abraço!"
Consigo conectar direto no notebook?? Gostaria de usar para lives que faço no Hangout. Qual o tamanho do fio? Eu preciso ficar um pouco distante do computador pois é uma aula de yoga.  A entrega é pelos Correios?,"Boa tarde,consegue sim amigo, abraço!"
Já solicitei o cancelamento a uma semana como está esse andamento?,"bom dia! vamos verificar e passamos as informaçoes."
Quero meu cod de rastreio,"Solicite no chat da compra!"
qual o tamanho do fio?,"boa tarde, 1 metro amigo, abraço!"
esse microfone fociona na caixa de som amplificada?,"Boa tarde, somente se a caixa estiver com a entrada de microfone p2 em funcionamento, abraço!"
Funciona em iPhone 7 ?,"Funciona, necessário adaptador, abraço"
oi ele é colocado direto no celular ?,"Sim da pra colocar via p2"
Esse  microfone sendo a condensador   ele necessitaria de Phanton Power ?,"nao necessita, abraço!"
Se e a condensador não seria necessario um Phaton Power ???,"Não é necessário,consegue usar diretamente, abraço!"
olá....posso usa-lo no pc para grava mensagens de voz? fora em videos,"pode sim abraço!"
preciso usar no celular ele já vem com plug correto? obrigado,"Consegue, dependendo do celular necessário adaptador, abraço!"
Boa tarde. Eu tenho um notebook Mac book pro que tem uma saída de áudio junto com a entrada de microfone P2. Eu tenho um adaptador que separa a saída de som do microfone.  Nesse caso   esse microfone funciona?,"Funciona sim, abraço!"
posso usa no Pc ou no notebook?,"Pode sim, abraço!"
Estes mic tem saída XLR?,"Sem saída, abraço!"
Bom dia! Poderia conectar esse microfone a um notebook? Funciona  por favor?,"Funciona sim, abraço!"
Boa tarde  pode ser ligado em smartphone,"Pode sim, abraço!"
pode ser usado tanto no celular como no  notebook?,"Pode sim, abraço!"
de qnts metros é o cabo?,"boa tarde, 1m, abraço"
Boa tarde  pode ligar no celular? Grato,"Pode sim amigo, abraço!"
Bom dia  prazo e frete para o CEP 20911-300?,"10 dias úteis, abraço!"
----
Fritadeira  Industrial Inovamaq Fm-10l Prata 220v
Question,Answer
Obrigada !! Qualquer coisa falamos!,"Ok combinado. Ficamos a disposição."
boa tarde!  gostaria de saber  que tipos de frituras pode fazer nesta fritadeira??,"Bom dia como vai? Você pode fritar Batatas, pescados, croquetes, massas, polentas, frangos, carnes, churros. No painel da máquina enviamos em quantos graus cada um é fritado. Ficamos a disposição."
3600W EM CADA RESISTÊNCIA?,"Bom dia Carolina, como vai? Em cada cuba contem 1800w, totalizando 3600w as duas. Ficamos a disposição."
3600W EM CADA RESISTÊNCIA?,"Bom dia Carolina, como vai? Em cada cuba contem 1800w, totalizando 3600w as duas. Ficamos a disposição."
3600W EM CADA RESISTÊNCIA?,"Bom dia Carolina, como vai? Em cada cuba contem 1800w, totalizando 3600w as duas. Ficamos a disposição."
3600W EM CADA RESISTÊNCIA?,"Bom dia Carolina, como vai? Em cada cuba contem 1800w, totalizando 3600w as duas. Ficamos a disposição."
Ela ja vem completa com as cubas e as peneiras?,"Bom dia, como vai? Sim, ela vai com as cubas, cestos e tampas, completa e pronto para uso. Qualquer dúvida ficamos a disposição."
Olá boa noite! Uma tomada residencial de fio 2.5mm aguenta a temperatura das 2 cuba ligadas ou  é necessário uma fiação mais grossa? Para não correr o risco de derreter a fiação.,"Bom dia, como vai? Cada cuba contém seu cabo de força, ou seja, elas atuam de formas separadas. Irá aguentar sem problemas. Qualquer dúvida fique a vontade para perguntar, estamos a disposição."
Olá boa noite! Uma tomada residencial de fio 2.5mm aguenta a temperatura das 2 cuba ligadas ou  é necessário uma fiação mais grossa? Para não correr o risco de derreter a fiação. Pois uma outra que comprei derreteu a tomada e fio da fritadeira.,"Bom dia, como vai? Cada cuba contém seu cabo de força, ou seja, elas atuam de formas separadas. Irá aguentar sem problemas. Qualquer dúvida fique a vontade para perguntar, estamos a disposição."
Boa tarde   possui certificacai Inmetro?,"Bom dia Joseane, agradecemos seu interesse em nossos produtos. Sim, todos nossos produtos possuem certificado do Inmetro. Fique a vontade para perguntar, estamos a disposição."
Pode por agua e oleo nela ?,"Boa tarde Diogo tudo bem? Essa máquina é somente a Óleo, não vai água. Qualquer dúvida ficamos a disposição"
vem com tampa?,"Olá, bom dia ! Tudo bem ? Sim, produto acompanha a tampa."
Já vem com os cestinhos  ou preciso comprar a parte?,"Bom dia Jaque, tudo bem? Sim, já vem incluso os cestinhos e duas tampas. Ficamos a disposição."
ola  os 3600w é em cada cuba?,"Bom dia Rochele, 3600w é o total. Ela tem 1800w em cada cuba. Ficamos a disposição."
cada GN é um reservatório de óleo? ou ela tem um reservatório único com as GNs imersas? (na foto as gns tem furos no fun,"Bom dia Romulo. São duas cubas independentes, podendo trabalhar com um e deixar o outro desligado sem problemas. Ficamos a disposição."
quais são as medidas?,"Bom dia, tudo bem? As Dimensões: Altura 255mm, Largura 545mm e Profundidade 433mm. Qualquer dúvida, estamos a disposição"
Bom dia!! Cada cuba tem capacidade para 10L ou cada uma tem 5L  somando a capacidade total de 10L?,"Boa tarde tudo bem? São duas cubas com 5 litros cada. Ficamos a disposição."
Bom dia está tendo á pronta entrega?,"Bom dia tudo bem? Temos sim, ficamos aguardando seu pedido. Até logo"
quero saber largura e comprimento por favor,"Bom dia, agradecemos seu interesse em nossos produtos. Largura de 54 centímetros, comprimento de 43 centímetros e altura de 25 centímetros. Ficamos a disposição."
Largura do pastel 11cm e 20cm comprimento,"Bom dia, os cestos tem o tamanho de 24x17x10cm. Ficamos a disposição."
qual tamanho do cesto?,"Bom dia, os cestos tem o tamanho 24x17x10cm . Qualquer dúvida estamos a disposição."
boa noite pode se fritar pastel de feira nela?,"Bom dia, tudo bem? As medidas do cesto são para capacidade de até 3,7L de óleo por cuba, irá depender do tamanho do pastel. Ficamos a disposição."
----
Fone De Ouvido Gamer Knup Kp-396 Preto E Azul
Question,Answer
esse fone tem a entrada de fone e microfone separadas? meu computador tem entradas p2  precisaria que fosse separado,"p 2 e usb"
Qual entrada o headset utiliza?,"USB"
Se conecta como? USB-A?,"sim precisa"
para o microfone tem plug p2 único ?,"OLA, NAO"
conecta no celular?,"NAO"
qual menor preço?,"OLA, VALOR É DO ANUNCIO"
Boa noite  serve para o Xbox one?,"OLA, NAO"
posso usar no meu ps4?,"nao sei"
funciona no xbox one?,"ola, nao"
Ele vem com adaptador pra transformar em 1 p2 pra usar no xbox one s?,"OLA, NAO"
Funciona no celular?,"NAOOO"
OlA funciona num smartphone ou so no pc?,"ola, pc"
bom dia serve para jogar no Xbox one S,"nao"
boa vem com o adaptador para usar no controle do xbox one s,"nao"
Então não tem?,"acabou"
Certo?,"ok ik"
Boa noite! tem pra pronta entrega no Rio de Janeiro? acompanha Cabo USB? Qual a garantia? No aguardo. Obrigado,"despachei todos"
qual é a conexão  rj11 ou rj9?,"vou"
funciona no ps4?,"nao"
Olá  é enviado de onde? Qual estado. É que preciso dele para no máximo daqui 10 dias,"ola, despacho de 3 a 5 dias, somos de sp"
Funciona no Xbox one?,"ola, nao"
Boa tarde! É compatível com Xbox one X? Obrigada,"ola, nao"
é entrada P2 de 3 canais ?,"É PRA COMPUTADOR"
serve para joga online por celular ?,"OLA, É PARA COMPUTADOR"
esse fone pega via Bluetooth,"NAO"
serve para smartphone,"NAO"
Estou considerando cancelara a compra devido â falta de informação de vocês,"OLA, DESPACHO EM 3 DIAS UTEIS"
pode me dar um retorno por favor?,"OLA, AMIGO TEM QUE AGRADAR, LOGO SERA DESPACHADO"
O telefone que tem ninguém atende,"OLA, DESPACHO EM 3 DIAS UTEIS"
meu pedido consta como envio pendente  mas não há nenhum esclarecimento por parte de vocês,"OLA, DESPACHO EM 3 DIAS UTEIS"
Comprei o Headset acima e ainda não recebi. Tenho enviado duas mensagens para vocês e não tive resposta.,"OLA, DESPACHO EM 3 DIAS UTEIS"
Funciona via bluethoot? Vem com adaptador P2?,"OLA, NAO É BLUETOOTH"
pega em celular,"NAO"
Da em celular ou precisa de adaptador??,"amigo é pra computador"
Ele tem USB também? Serve no x-box 1?,"ola, é usb"
Se conecta a entrada de notebook ou celular androide?,"ola, é usb"
dá pra usar em celular?,"Se seu celular tem entrada P2 vc pode usar o adaptador que acompanha o produto, se não teria que ter o adaptador para ele, a disposição"
Ele possui entrada P2?,"Sim, acompanha adaptador p2, obrigado"
----
Memória Ram 4 Gb 1x4gb Kingston Kvr13n9s8/4 
Question,Answer
tem ddr2 não?,"ddr2 não tenho"
Amigo  bom dia! Preciso de 33UN + NFe para CNPJ. Consegue fazer proposta com desconto a R$105 33 cada UN?,"desculpe mas o menor preço é do anúncio mesmo"
Bom dia! Preciso de 05 memorias Kingston 4gb/1333MHz  DDR3  CL9 - KVR13N9S8/4  São novas? Emitem NF? Vendem p/PJ? Valmir,"sim novas , com nf"
Bom dia! Preciso 5 memorias Kingston KVR13N9S8/4. São novas? Emitem NF p/PJ? Valmir,"produto novo com nota fiscal faturamos para pj"
ela funciona na placa Asrock H61M??,"Bom dia, sim é compatível com seu equipamento"
serve placa mae asrok h61m-vg3 ?,"Bom dia, sim é compatível com sua placa."
Me envia o link com a Memoria de 8 GB  farei a compra dela,"Boa noite, segue o link: https://produto.mercadolivre.com.br/MLB-919586867-memoria-kingston-8gb-1333mhz-ddr3-cl9-kvr1333d3n98g-_JM?quantity=1#position=5&type=item&tracking_id=b625a826-7646-494c-b09e-d5939ee0bea1"
Ok obg,"Estamos a disposição"
boa noite eu ja possuo uma memoria de 4 gb. oq eu preciso ver pra saber se essa e compativel com a minha?,"Boa noite. Sim, roda perfeitamente mesmo com outras marcas sendo ddr3 1333mhz"
Bom dia  estou precisando também de memoria RAM 8 GB  voce teria ?,"Bom dia, sim temos disponível."
Boa Tarde  voces emitem NF para PJ ?,"Boa tarde. Sim emitimos."
é 1333hz?,"Bom dia, sim é 1333mhz"
É ddr4?,"Boa noite, não essa é ddr3. Segue link da DDR4: https://produto.mercadolivre.com.br/MLB-1239698857-memoria-desktop-ddr4-kingston-kvr24n17s84-4gb-2400mhz-none-_JM?quantity=1#position=2&type=item&tracking_id=45ccbd4c-1c10-4247-8bdf-107b0b1318e1"
----
Ventilador De Mesa Ventisol Turbo 6p Preto, 40cm De Diâmetro 127v
Question,Answer
Nao importa  vcs q tem q enviar para o mercado livre  do meu estorno palhaçada,"Pelo visto não sabe como funciona a plataforma, mesmo alegando o contrário. A informação se encontra disponível, basta buscar que isso não é de nossa responsabilidade."
Acabou o produto  foi isso,"No momento não temos o produto em estoque."
N tem mais ventilador  acabou tudo e isso,"No momento não temos o produto em estoque."
Como faço,"No momento não temos o produto em estoque."
So m responde  acabou o produto,"No momento não temos o produto em estoque."
Não  sei fazer nada disso só  quero saber se vcs tem o produto  para me enviar,"Pedimos para então que seja claras em suas perguntas. No momento não temos o produto em estoque."
nao recebi o ventilador quero meu dinheiro  de volta ou o produto se virem se nao vou ao procon,"Já foi passado como o processo funciona e a senhora já disse que leu como funciona a plataforma, sendo que já tem em mente que não são os lojistas que realizam o estorno. Já que está tudo devidamente explicado não estamos entendendo o motivo indevida da cobrança em quem não tem nada haver com isso. Procura o Mercado Livre e desabafe, já que não está de acordo com as politicas implantadas pela plataforma que são totalmente visíveis durante o processo no qual você faz a sua conta e continua de fácil acesso dentro da plataforma. Obrigado!!!"
e está como estivesse disponível  porq nao recebi,"Qualquer assunto referente ao seu pedido é tratado via chat."
Meu eu já  li n quero saber vou no  procon  atrás  dos meus direitos,"Ok, não há o que possamos fazer já que não de nossa responsabilidade. Entre em contato com o próprio Mercado Livre para fazer a sua reclamação."
quero meu dinheiro de volta,"Boa tarde. O estorno é responsabilidade do mercado livre. Em caso de dúvidas leia o regulamento de como a plataforma funciona."
vcs cancelaram a minha compra e ja veio no cartao paraeu pagar vou no procon ou pague o meu dinheiro,"Boa tarde. O estorno é responsabilidade do mercado livre. Em caso de dúvidas leia o regulamento de como a plataforma funciona."
qual o consumo de energia?,"80 w, porem o produto está indisponível sem previsão de normalidade de estoque"
----
Cobertor Guaratinguetá Boa Noite Casal Vermelho Xadrez
Question,Answer
Olá  esse tecido é mais reforçado do que aquelas mantas fina ?  É que comprei daquelas mais finas   mas elas são bem básicas e quase não esquenta.Tem desse mesmo em medida menor?,"Boa noite, ele é bem grosso e resistente. No tamanho menor nao temos. Cores dispoiveis somente azul, preto, verde e cinza. Não temos o vermelho."
Bom dia.  Se eu comprar 4 desse   tenho desconto no frete? Meu CEP 24930104,"Boa noite, somente a pagina do anuncio pode te fornecer essa informação. Não temos na cor vermelha, somente azul, preto, cinza e verde."
Gostaria de saber se eu comprar 4 cobertores desse teria frente grátis pro cep 24930104,"Boa noite, essa informação a propria pagina do anuncio pode te fornecer, não temos na cor vermelha, somente azul, verde, cinza e preto"
Boa noite tem desse cobertor solteiro?,"Boa noite, somente casal nas cores preto, cinza, verde e azul. Não temos na cor vermelha"
bom dia  comprando 2 quanto fica o frete,"Boa noite, o frete é calculado diretamente na pagina do anuncio, não temos a cor vermelho disponovel, somente azul, cinza, verde e preto"
Até tenho interesse em 3 unidade mas o frete fica quase o valor do produto. Totalmente inviável infelizmente. Obg,"Entendo, vou te passar o olink direto do Mercado livre meu https://produto.mercadolivre.com.br/MLB-1065619512-cobertor-casal-boa-noite-guaratingueta-sortido-180x220-2148-_JM?quantity=1&variation=25501025254"
Duas unidades não tem frente grátis? Cep: 85810-100,"Bom dia, no olist não tem a opção de frete gratis. Tenho cores azul, preto, verde e cinza."
Boa noite  gostaria de saber se só tem na cor vermelha? pois gostaria de comprar 2  com cores diferentes!,"Bom dia, no vermelho não tenho mais.. tenho somente preto, azul, cinza e verde."
Por favor porque demora tanto para chegar. Comprei o Dr solteiro e chegou logo.,"Bom dia, problemas com os correios, produto foi despachado a tempo"
este e antialérgico. e porque eu tenho muita alergia,"Bom dia, é sim porem não temos mais na cor vermelho, somente azul, verde, preto e cinza."
Vcs tem esse cobertor de solteiro?,"Bom dia, de solteiro não tenho"
Qual o frete para Praia Grande/SP (11701-600) ? É para duas unidades.,"Olá! Bom dia! O frete é calculado automaticamente no próprio anúncio. Por favor, insira o frete no anúncio. Obrigado e boas compras! EQUIPE LOJAS ROZINELLI"
Olá! teria em outras cores ou é só vermelho mesmo?,"No momento só o vermelho. Att, OLIST"
Quero comprar mais um só que outra cor  têm?,"Olá, só temos vermelho no moemnto"
Ele pode ser lavado na maquina de lavar roupa?,"Não se recomenda"
Ele pode ser lavado na maquina de lavar roupa?,"Olá, não é recomendado."
na boleta,"Ta ja lhe mando"
----
Cartão De Memória Sandisk Sdsqxcy-128g-gn6ma Extreme Pro 128gb
Question,Answer
qual o motivo de subir 80 reais em um dia ?,"Olá, é devido ao alto valor de repasse do produto."
Olá  serve para meu Sansung J7 ?,"Olá, serve sim, pode comprar com confiança."
O produto vem lacrado?,"Olá! O produto vai lacrado na embalagem original."
Emite NF para revenda?,"Olá, emitimos nota fiscal sim! Aguardamos a sua compra! :-)"
Tens esse cartão em 256 gb?,"Olá, temos sim."
Você vende case para cartão de memória de e micro sd?,"Olá, não vendemos."
Esse produto vem na embalagem original de fabrica?,"Olá, ele vai na embalagem original."
Esse é classe 10?,"Olá, isso mesmo! Aguardamos a sua compra! :-)"
Ele é UHS?,"Olá, é sim! Aguardamos a sua compra! Atenciosamnete,"
Boa tarde! Com a postagem feita no dia 24/03 o produto chega até 26/03? Estou precisando com uma certa urgência. Fiz o pagamento ontem.,"Olá, Esperamos que receba o seu produto o quanto antes. Qualquer dúvida estamos a disposição, tenha um excelente final de semana! Atenciosamente,"
Emite Nota fiscal?,"Olá, bom dia! Emitimos nota fiscal sim! Aguardamos a sua compra! :-)"
produto original? Pode cadastrar no site?,"Olá, bom dia! Sim, produto original e pode ser cadastrado no site da Sandisk. Aguardamos a sua compra!"
Oii..vc tem desse tipo de cartão porém de 64gb? Se tiver manda o link?,"Olá, no momento não temos."
vc tem o produto em estoque? o produto e original?,"Olá, temos em estoque, garantimos a autenticidade e originalidade de todos os nossos produtos! Aguardamos a sua compra! :-)"
----
Pendrive Sandisk Cruzer Fit 32gb Preto
Question,Answer
Bom dia  Pode me informar com certeza se esse modelo serve para Samsung Galaxy J7 ? Por favor quero certeza porque comprei um que me garantiram e não serviu.,"Bom dia amigo, isso é um pendrive e não um cartão de memória. Att"
Olá novamente  acompanha NF? Obrigado.,"Acompanha NF sim"
Olá  este modelo seria o que possui a tampa plástica  como na foto? Obrigado.,"Ele não acompanha mais a tampa"
Ok,"aTT."
E o 16 gb    da pra fazer?,"Boa tarde , não amigo, o valor do anuncio já é o minimo possível para todos os produtos. Att,"
Bom dia vc faz 100 pendrive desse aí a 20 reais cada?,"Boa tarde, não amigo, desculpe. Att,"
olá amigos o produto é original?,"Bom dia, sim amigo. Att,"
Ele tem luz de led,"Bom dia, não amigo. Att,"
----
Jarra Elétrica Lenoxx Pce211 Express Prateada 220v 1.8l
Question,Answer
Você tem liquidificador?,"Olá, boa tarde! sim, só pesquisar e marcar a opção do vendedor."
Posso colocar cafe,"Olá, bom dia! Ideal para esquentar."
Boa noite  tem várias cor ou só preta ?,"Olá, bom dia! Apenas preta."
----
Ração Hill's Manutenção Saudável Science Diet Cachorro Adulto Raça Pequena 15kg
Question,Answer
data de vencimento?,"Boa tarde! vencimento: 16/05/2021. Obrigado!"
bom dia qual validade da ração   aguardo,"Validade 17.02.2021"
Está ração é hepática? Boa noite,"Bom dia,não ,não e ração de tratamento"
Ok amigo  pode verificar e me passar o link da que vc tem de filhote raças apequena no aguardo do link,"Bom dia! Não sei se tenho ela cadastrada, e se conseguir cadastrar são cinco dias uteis para aprovação da plataforma. Obrigado!"
Me informa o link por favor,"Você diz desta mesma ração? na verdade nós colocamos ela a venda na plataforma, e a plataforma distribui para os sites de venda, tenho que dar uma olhada aqui!"
Isso filhotes raças pequenas  pode me mandar o link  por favor,"Boa tarde! Tenho que ver se está cadastrado na internet, temos a Hill's filhote de raças pequenas de 7,5 kg."
Tem para folhotes?,"Boa a tarde,filhote S"
Bom dia. Pacote de 15kg? Qual validade? Aguardo e agradeço.,"Validade fevereiro de 2021"
Qual o valor exatamente do frete pro 89865000,"Boa tarde! Você consegue calcular através do site de compra. Obrigado!"
Ok ! Obrigado meu Amigo .,"De nada, boa semana!"
bom dia amigo! qual é a data de validade do produto? desde já agradeço .,"Boa tarde, a validade está para: 17/02/2021. Obrigado!"
Quanto seria o frete para 18670-000,"Boa tarde! Você pode calcular através do site de compra ou plataforma, o valor vai ser exato. Obrigado!"
Qual a validade da ração  por gentileza?,"Bom dia! A validade é 11/01/2021. Obrigado!"
Qual a data de validade?,"Bom dia! A validade é 11/01/2021. Obrigado!"
Já foi pago não consta ainda  pra vcs porque foi boleto,"Já estou verificando com o site"
Premier ambientes internos raças pequenas,"O sistema está com problema,devido final de ano,pode retornar na segunda feira,obrigado"
Olá bom dia fiz uma compra da ração oremier mais o anuncio foi pausado.,"Bom dia, qual Premier"
Frete caro,"Boa tarde! Infelizmente dependendo do peso do produto e da distância, acaba encarecendo. Temos o correio e a transportadora como opção, obrigado!"
bom dia! qual o valor do frete para o CEP 36600000? Obrigada,"Bom dia! Você pode cotar e verificar através do site de compra, e selecionar o correio ou a transportadora. Obrigado!"
qual a data de validade?,"Setembro de 2020"
----
Churrasqueira Móvel Mec G Chuin02 0.4m X 0.6m X 0.28m 
Question,Answer
Ok Obrigado,"Ficamos a disposição."
é fácil de enferrujar ?,"Por ser galvanizado enferruja mais fácil, a inox tem uma durabilidade muito maior"
é de aço inox ?,"Este modelo é galvanizado"
Vem pelo correio,"A Olist que escolhe, pode ir pelos correios ou por transportadora"
Boa noite  qual a espessura da chapa de inox que é feita a churrasqueira  e 0 inox é 308?,"Bom dia! A chapa varia de 0,4 á 0,6 mm. Aço inox 430. Ficamos a disposição."
Qual é o material?,"Boa tarde! Aço galvanizado. Ficamos a disposição."
